epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.8413818181818182,0.432482518677278,0.43762957692146304,0.8342
2,0.8831454545454546,0.31628234949003564,0.3393183916449547,0.878
3,0.8865272727272727,0.3093171601013704,0.3519823390126228,0.8746
4,0.8896363636363637,0.29002015511339363,0.3349919145822525,0.873
5,0.8997454545454545,0.26964392672235316,0.31180822997689245,0.8862
6,0.9046,0.25582523627714676,0.3263751020848751,0.8854
7,0.9130727272727273,0.2340661633426493,0.3010492804527283,0.8942
8,0.9099818181818182,0.23087624770944767,0.31565304250717163,0.8912
9,0.9160909090909091,0.21798553475466642,0.30853085712194445,0.8894
10,0.927509090909091,0.19196021112528713,0.2767359341621399,0.8974
11,0.9262181818181818,0.1918903242674741,0.30181528960466386,0.893
12,0.9299272727272727,0.1803889239094474,0.29811347258090976,0.897
13,0.9289090909090909,0.18132203492468055,0.30945207934379576,0.8934
14,0.9367272727272727,0.16382208135778253,0.30773086528778076,0.8978
15,0.9409090909090909,0.152931810632619,0.3018190485626459,0.9008
