conv2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv2,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,parameters_normalize,validation_loss_normalize
20,410250,0.02701818130072431,0.2454989429950714,0.9094,0.01200000000000001,1379840,0.6180555555555556,0.3452963500003534,0.360866499999247,0.9642,0.7408468310653757,0.7869150638580322,256,"(256, 1, 28, 28)",20,2000,0.125,0.7374341148138788
24,411658,0.023678855521983122,0.23783920047283172,0.9154,0.006000000000000005,1655808,0.5416666666666667,0.3452963500003534,0.362671249999039,0.9758,0.5539612515666639,0.831885039806366,256,"(256, 1, 28, 28)",20,2000,0.25,0.4936476676371706
28,413066,0.020339529743241935,0.23560532412528992,0.9158,0.005600000000000049,1931776,0.4652777777777778,0.3452963500003534,0.37320845000067493,0.9798,0.4788521718294909,0.8664435744285583,256,"(256, 1, 28, 28)",20,2000,0.375,0.4225501370585496
