conv2_rank,epoch,train_acc,train_loss,validation_loss,validation_acc
20,1,0.94616,0.14930774161338806,0.22670124485492707,0.9182
20,2,0.948,0.14489215618610382,0.22247414832115173,0.921
20,3,0.95332,0.13365370089530945,0.2183339916944504,0.9194
20,4,0.95412,0.1295646227312088,0.22192861163616182,0.9198
20,5,0.9556,0.1258769426059723,0.22398828401565551,0.92
20,6,0.95774,0.12071559918403625,0.2260862445116043,0.9218
24,1,0.94754,0.14573835911750793,0.22522874698638917,0.9188
24,2,0.95006,0.1409524976348877,0.2205807595729828,0.921
24,3,0.95456,0.13025554806232453,0.21709312672615053,0.9204
24,4,0.9558,0.1259230876636505,0.22107591655254363,0.9224
24,5,0.95684,0.12190420399665833,0.22345266308784484,0.9188
24,6,0.95878,0.11848581307411193,0.226821067404747,0.923
28,1,0.94868,0.14329555370807648,0.22481680614948274,0.9186
28,2,0.9508,0.13816031485557556,0.21983705735206605,0.9218
28,3,0.95602,0.12769441413402557,0.2154267121553421,0.9224
28,4,0.95644,0.12400306750297546,0.221264235329628,0.9216
28,5,0.95782,0.11894711110591888,0.22210360248088837,0.9224
28,6,0.9598,0.11506604537487031,0.22495925059318542,0.9226
