epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.73205,0.7589755651473999,0.7809317100524902,0.7284
2,0.74235,0.736998000049591,0.771946719455719,0.7342
3,0.746,0.7343263946533203,0.7700114870071411,0.7352
4,0.747675,0.7236858968734741,0.768737683391571,0.7328
5,0.750525,0.7155417392730713,0.7729423771858215,0.7318
6,0.75045,0.7139518261909484,0.7550118250846862,0.7396
7,0.74895,0.7089954524993897,0.7639510676383973,0.7378
8,0.7533,0.7001504329681396,0.7588543846130371,0.7396
9,0.75405,0.7022481678009033,0.738684597492218,0.7488
10,0.754625,0.6959489101409913,0.7353644234657287,0.7444
11,0.75925,0.6895749473571777,0.7439432427406311,0.7446
12,0.7591,0.6844697891235352,0.7460628212928772,0.739
13,0.760875,0.6849003674507141,0.7303751525878907,0.746
14,0.764125,0.68066157913208,0.7377783836364746,0.744
15,0.763575,0.6730963496208191,0.7412773338317871,0.7488
16,0.764825,0.6761853671073914,0.7237114463806152,0.7472
17,0.765425,0.6726694492340088,0.7217383131027222,0.7514
18,0.762675,0.6703811120986939,0.7435700139045716,0.7458
19,0.769275,0.66648866147995,0.7214756555557251,0.7492
20,0.7696,0.6636003103256226,0.7209153818130494,0.7476
21,0.767425,0.6635264098167419,0.7243006468772888,0.7468
22,0.77065,0.6564630227088928,0.7327898503303528,0.745
23,0.772225,0.6519269480705261,0.7176956027030945,0.7526
24,0.774025,0.6508640502929688,0.6999182751655578,0.7636
25,0.775525,0.6459714483261109,0.7045212328910828,0.7588
26,0.773875,0.6440808828353882,0.6965382860183715,0.7616
27,0.77525,0.6393259378433227,0.7022268939018249,0.7588
28,0.77675,0.6343464576721192,0.702110067653656,0.759
29,0.77945,0.6367200118064881,0.6901804494857788,0.7618
30,0.781175,0.631908154296875,0.6835553889274597,0.7624
