stage,role,rank_out,rank_in,validation_loss,validation_acc,test_loss,test_acc,accuracy_drop,parameters,parameters_reduction,conv2_macs_reduction,all_macs_reduction,weight_relative_error,best_epoch
baseline,baseline,,,0.760243639755249,0.7344,0.7556182431221008,0.7327,0.0,128842,0.0,,,,
aggressive_before_finetuning,aggressive,16.0,24.0,1.3344864065170288,0.5162,1.3054552711486815,0.5297,0.21820000000000006,115658,0.10232688098601384,0.7152777777777778,0.3258688022146423,0.5654924511909485,
aggressive_after_finetuning,aggressive,16.0,24.0,0.7294935320854187,0.7462,0.7342554752349854,0.7476,-0.011799999999999922,115658,0.10232688098601384,0.7152777777777778,0.3258688022146423,0.5654924511909485,16.0
balanced_before_finetuning,balanced,32.0,16.0,1.0578302778244018,0.628,1.0261788503646851,0.6378,0.10640000000000005,117578,0.08742490802688563,0.6111111111111112,0.2784121805328983,0.4490424394607544,
balanced_after_finetuning,balanced,32.0,16.0,0.6765047932624817,0.7628,0.6767446281909942,0.7682,-0.02839999999999998,117578,0.08742490802688563,0.6111111111111112,0.2784121805328983,0.4490424394607544,30.0
conservative_before_finetuning,conservative,32.0,24.0,0.9774744749069214,0.6532,0.9502043176651,0.6612,0.08120000000000005,120138,0.06755561074804795,0.4722222222222222,0.2151366849572396,0.3778680264949798,
conservative_after_finetuning,conservative,32.0,24.0,0.7011188507080078,0.7568,0.6988561670303345,0.7571,-0.022399999999999975,120138,0.06755561074804795,0.4722222222222222,0.2151366849572396,0.3778680264949798,19.0
