epoch,train_loss,validation_loss
1,0.41861734903335573,0.42841205215454103
2,0.3171305303287506,0.3282908737182617
3,0.28811051612854005,0.3035589289665222
4,0.2593620726013184,0.2874029094696045
5,0.2692449679756165,0.2928419662475586
6,0.2269690407562256,0.26574582238197325
7,0.2318751551103592,0.26311833124160766
8,0.19343926552295684,0.234303214097023
9,0.18146726101875305,0.2301775591611862
10,0.1796765530014038,0.23427562718391418
11,0.1602019971179962,0.22611217122077942
12,0.1510880791950226,0.21605256562232972
13,0.15063058769226073,0.2288104365348816
14,0.12684475967884062,0.21705774855613708
15,0.11833466705799103,0.21920900220870973
