candidate,conv2_rank,acc_before,acc_after,delta_acc,loss_before,loss_after,delta_loss
Aggressive,20,0.9094,0.9252,0.015800000000000036,0.2454989429950714,0.21272816026210786,-0.03277078273296355
Balanced,24,0.9154,0.9254,0.010000000000000009,0.23783920047283172,0.21029436099529267,-0.02754483947753905
Conservative,28,0.9158,0.925,0.009200000000000097,0.23560532412528992,0.20918989334106444,-0.02641543078422548
