iteration,weight_relative_error,improvement
1,0.442817747592926,
2,0.44254738092422485,0.0002703666687011719
3,0.44251176714897156,3.56137752532959e-05
4,0.4425053298473358,6.4373016357421875e-06
5,0.44250398874282837,1.341104507446289e-06
6,0.4425036907196045,2.980232238769531e-07
