method,rank_out,rank_in,weight_relative_error,decomposition_time_ms,iterations,validation_loss,validation_acc,accuracy_drop,test_loss,test_acc,parameters,parameters_reduction,conv2_macs_reduction,all_macs_reduction
baseline,,,,,,0.760243639755249,0.7344,0.0,0.7556182431221008,0.7327,128842,0.0,,
hosvd_tucker2,32.0,16.0,0.4490424394607544,17.596300000150222,0.0,1.0578302778244018,0.628,0.10640000000000005,1.0261788503646851,0.6378,117578,0.08742490802688563,0.6111111111111112,0.2784121805328983
self_hooi_tucker2,32.0,16.0,0.4425036907196045,41.64959999980056,6.0,1.1212078247070312,0.6202,0.11420000000000008,1.0845165397644043,0.6254,117578,0.08742490802688563,0.6111111111111112,0.2784121805328983
tensorly_partial_tucker,32.0,16.0,0.4425036907196045,83.82919999894511,6.0,1.1212078247070312,0.6202,0.11420000000000008,1.0845165397644043,0.6254,117578,0.08742490802688563,0.6111111111111112,0.2784121805328983
