model,fc1_rank,fc2_rank,validation_acc,validation_loss,parameters,parameters_reduction
Baseline,-,-,0.8942,0.29900335223674773,535818,0.0
Aggressive after FT,16,16,0.8832,0.3225665754199028,36362,0.9321374048650848
Balanced after FT,32,16,0.8858,0.3283580264091492,57098,0.8934376971285026
Conservative after FT,64,16,0.8862,0.33564609065055845,98570,0.8160382816553382
