epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.94634,0.15245913875579833,0.219785262465477,0.918
2,0.9414,0.1571638143348694,0.23032268815040588,0.9162
3,0.9382,0.1649077122783661,0.24058529822826386,0.9126
4,0.95202,0.1343360955762863,0.23116132493019104,0.9178
