conv2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv2,parameters_normalize,validation_loss_normalize
16,408842,0.030357507079465496,0.28799452357292177,0.8986,0.026800000000000046,1103872,0.6944444444444444,0.38635730000169133,0.3847029999815277,0.9462,1.232296990998289,0.7178459763526917,0.0,1.0
20,410250,0.02701818130072431,0.261761513710022,0.909,0.01639999999999997,1379840,0.6180555555555556,0.38635730000169133,0.38627549998636823,0.9604,0.9785348457443596,0.7774791121482849,0.125,0.6300827486531051
24,411658,0.023678855521983122,0.24981580142974855,0.9102,0.015199999999999991,1655808,0.5416666666666667,0.38635730000169133,0.4170574999807286,0.968,0.7768954996855373,0.8257433772087097,0.25,0.4616337191595776
28,413066,0.020339529743241935,0.2303158606529236,0.9216,0.0038000000000000256,1931776,0.4652777777777778,0.38635730000169133,0.3961459999845829,0.9796,0.5782135864350525,0.8634181618690491,0.375,0.1866609069931826
32,414474,0.017000203964500638,0.22703084394931794,0.9206,0.0048000000000000265,2207744,0.38888888888888884,0.38635730000169133,0.3817085000264342,0.9836,0.4189136085760348,0.8927916288375854,0.5,0.14033818779407836
36,415882,0.01366087818575945,0.22155856759548187,0.9234,0.0020000000000000018,2483712,0.3125,0.38635730000169133,0.3864389999944251,0.9868,0.32356404387805926,0.9163045287132263,0.625,0.06317245507789027
42,417994,0.008651889517647726,0.21849537403583527,0.9234,0.0020000000000000018,2897664,0.19791666666666663,0.38635730000169133,0.42182999997748993,0.9904,0.20803848438769237,0.9446325898170471,0.8125,0.019977711209382853
44,418698,0.006982226628277077,0.21844641120433808,0.9234,0.0020000000000000018,3035648,0.1597222222222222,0.38635730000169133,0.3883200000200304,0.9912,0.187040966218161,0.9522309303283691,0.875,0.019287275908963508
48,420106,0.0036429008495358906,0.21707863693237306,0.9254,0.0,3311616,0.08333333333333337,0.38635730000169133,0.39404499999363907,0.9926,0.15637102783427392,0.9658347964286804,1.0,0.0
