candidate,fc1_rank,fc2_rank,acc_before,acc_after,delta_acc,loss_before,loss_after,delta_loss
Aggressive,16,16,0.7176,0.8832,0.16559999999999997,0.8582640611410141,0.3225665754199028,-0.5356974857211112
Balanced,32,16,0.8718,0.8858,0.014000000000000012,0.36457594430446627,0.3283580264091492,-0.03621791789531709
Conservative,64,16,0.8886,0.8862,-0.0023999999999999577,0.31105500944852826,0.33564609065055845,0.024591081202030185
