parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,agreement,logits_rmse,baseline_macs,compressed_macs,compute_reduction,conv1_rank,conv1_role,retained_energy_conv1,conv2_rank,conv2_role,retained_energy_conv2,conv3_rank,conv3_role,retained_energy_conv3,is_all_knee,parameters_normalize,validation_loss_normalize
69964,0.4569783145247668,2.074852709388733,0.3994,0.3350000000000001,0.5312171499999749,0.503555199999937,256,"(256, 3, 32, 32)",20,2000,0.4446,2.8094612194778557,10357248,4723200,0.543971526026991,6,knee,0.6009767651557922,32,conservative,0.8810855746269226,32,aggressive,0.7885524034500122,False,0.20372448621729689,0.4398217636753001
70141,0.4556045388925971,1.8907870203018189,0.4354,0.29900000000000004,0.5312171499999749,0.5039514000000054,256,"(256, 3, 32, 32)",20,2000,0.4884,2.512333304482608,10357248,4904448,0.5264718967818478,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,32,aggressive,0.7885524034500122,False,0.20993196324612473,0.2752786557020672
81405,0.3681796308657115,1.7082019412994385,0.4792,0.25520000000000004,0.5312171499999749,0.5365944000004674,256,"(256, 3, 32, 32)",20,2000,0.5472,2.313134883287451,10357248,5625344,0.45686885164862323,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,48,knee,0.8807648420333862,False,0.6049659816230624,0.11205911968955262
