epoch,train_acc,train_loss,test_loss,test_acc
0,0.8192833333333334,0.49825160201390584,0.41858630776405337,0.8471
1,0.8681,0.35954844215710957,0.3743138462305069,0.8637
2,0.8818,0.32071026628812155,0.3591099053621292,0.8699
3,0.8878166666666667,0.29845012838840485,0.3432483583688736,0.8802
4,0.8960333333333333,0.27790795644919075,0.3561888873577118,0.8643
5,0.9008166666666667,0.26430928800900777,0.3395427942276001,0.878
6,0.9052666666666667,0.24911951721509298,0.31744725704193116,0.8885
7,0.9085166666666666,0.23978287084499994,0.32826351225376127,0.8821
8,0.9138333333333334,0.2269715344985326,0.3232578471302986,0.8896
9,0.9174,0.2175792677998543,0.38302540481090547,0.8788
10,0.9194166666666667,0.209711205470562,0.32487953305244444,0.8881
11,0.9240166666666667,0.1977657212217649,0.33267402946949004,0.8926
12,0.9264,0.19089063546657561,0.37512863278388975,0.8847
13,0.9294,0.18265790264606477,0.33742293417453767,0.8929
14,0.9317,0.17617837489644686,0.34871034026145936,0.888
15,0.9332166666666667,0.17205628923575084,0.35407784581184387,0.8972
16,0.9376833333333333,0.16312316500147184,0.3594526439905167,0.8981
17,0.9395,0.15806917829314868,0.374062517285347,0.8963
18,0.9404166666666667,0.15335406564672788,0.39704189300537107,0.8894
19,0.9426166666666667,0.14474272670547167,0.39305305778980254,0.8915
20,0.9448333333333333,0.14080934907396633,0.42221036851406096,0.8927
21,0.9450166666666666,0.14216346763471763,0.3868627488613129,0.8978
22,0.9488,0.13305553115407626,0.3888449460268021,0.8964
23,0.9511333333333334,0.1263837162355582,0.41608577966690063,0.8863
24,0.9523666666666667,0.12401358071168264,0.43603900671005247,0.8967
25,0.95225,0.12263599797785282,0.428274604678154,0.8943
26,0.9554,0.11419116870760918,0.4299476891756058,0.8889
27,0.9556166666666667,0.11416518386006355,0.45595596730709076,0.891
28,0.9573666666666667,0.11133221028546492,0.4567237854003906,0.8993
29,0.9593833333333334,0.10387526367108027,0.4505707621574402,0.8948
30,0.95835,0.10776499252816041,0.472626855969429,0.8941
31,0.9615833333333333,0.10090331745495398,0.47168871462345124,0.8937
32,0.9627166666666667,0.09500708218812942,0.46603659689426424,0.8964
33,0.9645333333333334,0.09183092671732108,0.526857140660286,0.8978
34,0.9645666666666667,0.09039490800797939,0.5158316552639007,0.8933
35,0.96565,0.08753456854025522,0.515912052989006,0.894
36,0.9649333333333333,0.09031296959420045,0.5559425771236419,0.8969
37,0.9677,0.08327574568837881,0.5346991062164307,0.8984
38,0.9688666666666667,0.0814343794738253,0.5524916768074035,0.8932
39,0.96865,0.08100305296729009,0.5350468933582306,0.8931
40,0.9708,0.075086274480323,0.5652611881494523,0.892
41,0.9691833333333333,0.0797581810593605,0.5631144374608994,0.8955
42,0.9709333333333333,0.07619489935090144,0.6057331502437592,0.8947
43,0.9714833333333334,0.07290297398467858,0.5938483327627182,0.8941
44,0.9722333333333333,0.0724150447204709,0.5988430470228195,0.8938
45,0.9718333333333333,0.0730255190016081,0.6000460267066956,0.8963
46,0.97565,0.06461942043552796,0.5964236706495285,0.8973
47,0.9744333333333334,0.06784854110206166,0.6234870761632919,0.9
48,0.9736666666666667,0.07028977321886147,0.6258194267749786,0.8968
49,0.9750833333333333,0.06500051714467506,0.6842091709375382,0.8844
