candidate,conv2_rank,acc_before,acc_after,delta_acc,loss_before,loss_after,delta_loss
Aggressive,24,0.9102,0.925,0.014800000000000035,0.24981580142974855,0.2102157057762146,-0.03960009565353395
Balanced,28,0.9216,0.926,0.0044000000000000705,0.2303158606529236,0.20933417978286742,-0.02098168087005617
Conservative,32,0.9206,0.924,0.0034000000000000696,0.22703084394931794,0.2095821472644806,-0.01744869668483734
