model,conv2_rank,validation_acc,validation_loss,parameters,parameters_reduction
Baseline,-,0.9254,0.21562410125732423,421642,0.0
Aggressive after FT,24,0.925,0.2102157057762146,411658,0.023678855521983122
Balanced after FT,28,0.926,0.20933417978286742,413066,0.020339529743241935
Conservative after FT,32,0.924,0.2095821472644806,414474,0.017000203964500638
