parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,agreement,logits_rmse,baseline_macs,compressed_macs,compute_reduction,conv1_rank,conv1_role,retained_energy_conv1,conv2_rank,conv2_role,retained_energy_conv2,conv3_rank,conv3_role,retained_energy_conv3,is_all_knee,parameters_normalize,validation_loss_normalize
64155,0.5020645441703793,2.7014945320129393,0.2072,0.5272000000000001,0.5655052000001888,0.5285312499981956,256,"(256, 3, 32, 32)",20,2000,0.2214,3.717229069229525,10357248,3100160,0.7006772455385832,3,aggressive,0.36505842208862305,16,aggressive,0.6923009753227234,32,aggressive,0.7885524034500122,False,0.0,1.0
64332,0.5006907685382096,2.3158108848571777,0.3042,0.4302,0.5655052000001888,0.5163834999984829,256,"(256, 3, 32, 32)",20,2000,0.3372,3.270577064668787,10357248,3281408,0.6831776162934401,6,knee,0.6009767651557922,16,aggressive,0.6923009753227234,32,aggressive,0.7885524034500122,False,0.00620747702882829,0.6552231634680448
64509,0.4993169929060399,2.174534973526001,0.3422,0.39220000000000005,0.5655052000001888,0.5229193500017573,256,"(256, 3, 32, 32)",20,2000,0.3822,3.0301115839086687,10357248,3462656,0.665677987048297,9,conservative,0.7662929892539978,16,aggressive,0.6923009753227234,32,aggressive,0.7885524034500122,False,0.012414954057656136,0.5289314159538947
67325,0.4774607658993185,2.090031996154785,0.3834,0.35100000000000003,0.5655052000001888,0.5341727500017441,256,"(256, 3, 32, 32)",20,2000,0.4344,2.772798091786075,10357248,4183552,0.5960749419150724,9,conservative,0.7662929892539978,24,knee,0.808947741985321,32,aggressive,0.7885524034500122,False,0.11117345865189066,0.4533910879404204
69964,0.4569783145247668,2.074852709388733,0.3994,0.3350000000000001,0.5655052000001888,0.570936050000455,256,"(256, 3, 32, 32)",20,2000,0.4446,2.8094612194778557,10357248,4723200,0.543971526026991,6,knee,0.6009767651557922,32,conservative,0.8810855746269226,32,aggressive,0.7885524034500122,False,0.20372448621729689,0.4398217636753001
70141,0.4556045388925971,1.8907870203018189,0.4354,0.29900000000000004,0.5655052000001888,0.529722799998126,256,"(256, 3, 32, 32)",20,2000,0.4884,2.512333304482608,10357248,4904448,0.5264718967818478,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,32,aggressive,0.7885524034500122,False,0.20993196324612473,0.2752786557020672
81405,0.3681796308657115,1.7082019412994385,0.4792,0.25520000000000004,0.5655052000001888,0.5322633499999938,256,"(256, 3, 32, 32)",20,2000,0.5472,2.313134883287451,10357248,5625344,0.45686885164862323,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,48,knee,0.8807648420333862,False,0.6049659816230624,0.11205911968955262
92669,0.28075472283882585,1.5828473194122314,0.5048,0.22960000000000003,0.5655052000001888,0.5395570000000589,256,"(256, 3, 32, 32)",20,2000,0.5786,2.1401631071018863,10357248,6346240,0.38726580651539866,9,conservative,0.7662929892539978,32,conservative,0.8810855746269226,64,conservative,0.9322720170021057,False,1.0,0.0
