candidate,conv1_rank,conv2_rank,conv3_rank,acc_before,acc_after,delta_acc,loss_before,loss_after,delta_loss
Aggressive,6,32,32,0.3994,0.7336,0.33420000000000005,2.074852709388733,0.7801626772880554,-1.2946900321006776
Balanced,9,32,32,0.4354,0.736,0.3006,1.8907870203018189,0.7714907892227173,-1.1192962310791015
Conservative,9,32,48,0.4792,0.7444,0.26519999999999994,1.7082019412994385,0.7469203527450562,-0.9612815885543823
