parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,agreement,logits_rmse,compressed_macs,compute_reduction,layer,rank,retained_energy
66378,0.4848108536036385,1.5289990362167358,0.5096,0.2248,0.5312171499999749,0.5025967999999921,256,"(256, 3, 32, 32)",20,2000,0.573,2.43100235322927,720896,0.8472222222222222,conv3,16,0.6000306010246277
77642,0.3973859455767529,1.0335878185272216,0.6456,0.0888000000000001,0.5312171499999749,0.5074890500000038,256,"(256, 3, 32, 32)",20,2000,0.7722,1.3141512770992396,1441792,0.6944444444444444,conv3,32,0.7885524034500122
88906,0.30996103754986726,0.8654435792922973,0.7064,0.028000000000000025,0.5312171499999749,0.5164256999996724,256,"(256, 3, 32, 32)",20,2000,0.8838,0.7677259328107631,2162688,0.5416666666666667,conv3,48,0.8807648420333862
100170,0.22253612952298163,0.7939177090644837,0.7214,0.013000000000000012,0.5312171499999749,0.5309681500002625,256,"(256, 3, 32, 32)",20,2000,0.9426,0.30988085666059956,2883584,0.38888888888888884,conv3,64,0.9322720170021057
111434,0.135111221496096,0.7774637692451477,0.7298,0.0046000000000000485,0.5312171499999749,0.5492665499996292,256,"(256, 3, 32, 32)",20,2000,0.9656,0.2072072858611995,3604480,0.23611111111111116,conv3,80,0.9638416171073914
122698,0.04768631346921037,0.7643162446022034,0.733,0.0014000000000000679,0.5312171499999749,0.5625436499994976,256,"(256, 3, 32, 32)",20,2000,0.985,0.08476914910229055,4325376,0.08333333333333337,conv3,96,0.9829613566398621
133962,-0.039738594557675366,0.7611085725784301,0.7364,-0.0020000000000000018,0.5312171499999749,0.559110850000252,256,"(256, 3, 32, 32)",20,2000,0.9944,0.02427875267353641,5046272,-0.06944444444444442,conv3,112,0.993802011013031
145226,-0.127163502584561,0.7602821520805358,0.7346,-0.00019999999999997797,0.5312171499999749,0.5717599499994321,256,"(256, 3, 32, 32)",20,2000,0.9998,0.0015863787173554585,5767168,-0.22222222222222232,conv3,128,1.0
