parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,agreement,logits_rmse,compressed_macs,compute_reduction,layer,rank,retained_energy,parameters_normalize,validation_loss_normalize
66378,0.4848108536036385,1.5289990362167358,0.5096,0.2248,0.5717983499998809,0.5086431999989145,256,"(256, 3, 32, 32)",20,2000,0.573,2.43100235322927,720896,0.8472222222222222,conv3,16,0.6000306010246277,0.0,1.0
77642,0.3973859455767529,1.0335878185272216,0.6456,0.0888000000000001,0.5717983499998809,0.5238103500014404,256,"(256, 3, 32, 32)",20,2000,0.7722,1.3141512770992396,1441792,0.6944444444444444,conv3,32,0.7885524034500122,0.19999999999999996,0.3521349988228255
88906,0.30996103754986726,0.8654435792922973,0.7064,0.028000000000000025,0.5717983499998809,0.5347191500004556,256,"(256, 3, 32, 32)",20,2000,0.8838,0.7677259328107631,2162688,0.5416666666666667,conv3,48,0.8807648420333862,0.40000000000000013,0.1322474309596744
100170,0.22253612952298163,0.7939177090644837,0.7214,0.013000000000000012,0.5717983499998809,0.5371471500002372,256,"(256, 3, 32, 32)",20,2000,0.9426,0.30988085666059956,2883584,0.38888888888888884,conv3,64,0.9322720170021057,0.6000000000000001,0.03871077626813135
111434,0.135111221496096,0.7774637692451477,0.7298,0.0046000000000000485,0.5717983499998809,0.577899449999677,256,"(256, 3, 32, 32)",20,2000,0.9656,0.2072072858611995,3604480,0.23611111111111116,conv3,80,0.9638416171073914,0.8,0.017193436006562868
122698,0.04768631346921037,0.7643162446022034,0.733,0.0014000000000000679,0.5717983499998809,0.6026912500019534,256,"(256, 3, 32, 32)",20,2000,0.985,0.08476914910229055,4325376,0.08333333333333337,conv3,96,0.9829613566398621,1.0000000000000002,0.0
