candidate,fc1_rank,acc_before,acc_after,delta_acc,loss_before,loss_after,delta_loss
Aggressive,20,0.9142,0.9216,0.007399999999999962,0.25026881556510927,0.22085943360328675,-0.029409381961822523
Balanced,24,0.9172,0.9226,0.00539999999999996,0.23341810054779052,0.22012853178977967,-0.01328956875801085
Conservative,28,0.9166,0.922,0.005400000000000071,0.23113375840187073,0.22049343326091767,-0.01064032514095306
