role,rank_out,rank_in,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,conv2_macs_reduction,all_macs_reduction,weight_relative_error
aggressive,16.0,24.0,115658.0,0.10232688098601384,1.3344864065170288,0.5162,0.21820000000000006,0.7152777777777778,0.3258688022146423,0.5654924511909485
balanced,32.0,16.0,117578.0,0.08742490802688563,1.0578302778244018,0.628,0.10640000000000005,0.6111111111111112,0.2784121805328983,0.4490424394607544
conservative,32.0,24.0,120138.0,0.06755561074804795,0.9774744749069214,0.6532,0.08120000000000005,0.4722222222222222,0.2151366849572396,0.37786802649497986
