fc1_rank,fc2_rank,parameters,validation_loss,parameters_normalize,validation_loss_normalize
16,16,36362,0.616395,0.0,1.0
32,16,57098,0.360735,0.139896,0.168512
32,32,69386,0.358668,0.222798,0.16179
32,64,93962,0.357239,0.388601,0.157145
64,16,98570,0.315666,0.419689,0.021934
64,32,110858,0.312992,0.502591,0.013238
64,64,135434,0.311357,0.668394,0.00792
64,128,184586,0.308921,1.0,0.0
