fc1_rank,fc2_rank,parameters,test_loss,test_accuracy,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,retained_energy_fc2
16,16,36362,0.5325811266899109,0.8623,0.1181000000000001,35584,0.9334928229665072,0.12870684999870718,0.16739949998736847,0.87,3.160090040252018,0.4976333677768707,0.7366189956665039
16,32,48650,0.537153235077858,0.8586,0.12180000000000002,47872,0.9105263157894736,0.12870684999870718,0.1474565000171424,0.8668,3.209378274097648,0.4976333677768707,0.809398353099823
16,64,73226,0.5283206164836883,0.8596,0.12080000000000002,72448,0.8645933014354067,0.12870684999870718,0.17556749997311272,0.8679,3.2007639835084687,0.4976333677768707,0.8815163373947144
16,128,122378,0.5261096805334091,0.8608,0.11960000000000004,121600,0.7727272727272727,0.12870684999870718,0.1461475000178325,0.8692,3.195315100854687,0.4976333677768707,0.9532900452613831
32,16,57098,0.11166652254760265,0.9645,0.015900000000000025,56320,0.8947368421052632,0.12870684999870718,0.16194499999983236,0.9745,1.6457107720715995,0.6606663465499878,0.7366189956665039
32,32,69386,0.10866323560476303,0.9652,0.015200000000000102,68608,0.8717703349282296,0.12870684999870718,0.1412229999914416,0.9754,1.5868933203452114,0.6606663465499878,0.809398353099823
32,64,93962,0.10715825073421001,0.9651,0.015300000000000091,93184,0.8258373205741627,0.12870684999870718,0.13555300000007264,0.9748,1.5608006071104181,0.6606663465499878,0.8815163373947144
32,128,143114,0.10662752389907837,0.9658,0.014600000000000057,142336,0.7339712918660287,0.12870684999870718,0.18536349998612422,0.976,1.5539870846873214,0.6606663465499878,0.9532900452613831
64,16,98570,0.07578640040010214,0.9776,0.0028000000000000247,97792,0.8172248803827751,0.12870684999870718,0.14518699998006923,0.9932,0.7248489942416455,0.7902206778526306,0.7366189956665039
64,32,110858,0.07331332489848137,0.979,0.0014000000000000679,110080,0.7942583732057417,0.12870684999870718,0.1290549999976065,0.9935,0.603417588113349,0.7902206778526306,0.809398353099823
64,64,135434,0.07311082445085049,0.9792,0.0012000000000000899,134656,0.7483253588516746,0.12870684999870718,0.17282549997617025,0.9939,0.5611748975364098,0.7902206778526306,0.8815163373947144
64,128,184586,0.07320302408188581,0.9788,0.0016000000000000458,183808,0.6564593301435406,0.12870684999870718,0.19764050000958377,0.9935,0.5565045019963338,0.7902206778526306,0.9532900452613831
128,16,181514,0.07265630420297384,0.9797,0.0007000000000000339,180736,0.6622009569377991,0.12870684999870718,0.26064000001497334,0.9967,0.5662595542792193,0.8891057968139648,0.7366189956665039
128,32,193802,0.07016292642802,0.9805,-9.999999999998899e-05,193024,0.6392344497607656,0.12870684999870718,0.12378549999993993,0.9971,0.37963449829397994,0.8891057968139648,0.809398353099823
128,64,218378,0.06985834818333388,0.9802,0.000200000000000089,217600,0.5933014354066986,0.12870684999870718,0.1526825000109966,0.9978,0.26589458516472625,0.8891057968139648,0.8815163373947144
128,128,267530,0.06997909341007472,0.9804,0.0,266752,0.5014354066985646,0.12870684999870718,0.1666320000003907,0.9981,0.22744906079460442,0.8891057968139648,0.9532900452613831
