epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.95162,0.1401960168170929,0.2133665005683899,0.9196
2,0.94628,0.14566889871120453,0.2268775993824005,0.9182
3,0.94556,0.14816536594867707,0.23323297066688536,0.9132
4,0.95564,0.12591384296894073,0.22940805017948152,0.9174
