model,fc1_rank,validation_acc,validation_loss,parameters,parameters_reduction
Baseline,-,0.9214,0.22066426420211793,421642,0.0
Aggressive after FT,20,0.922,0.21824228613376617,85514,0.7971881359067645
Balanced after FT,24,0.9206,0.21888758068084715,98570,0.7662234786857096
Conservative after FT,28,0.9228,0.21700971381664277,111626,0.7352588214646549
