candidate,fc1_rank,acc_before,acc_after,delta_acc,loss_before,loss_after,delta_loss
Aggressive,20,0.917,0.922,0.0050000000000000044,0.23362295379638673,0.21824228613376617,-0.015380667662620556
Balanced,24,0.917,0.9206,0.0035999999999999366,0.2288732908964157,0.21888758068084715,-0.009985710215568544
Conservative,28,0.9182,0.9228,0.0045999999999999375,0.22510961666107177,0.21700971381664277,-0.008099902844428991
