layer,rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy
conv2,8,113226,0.1212027134009096,1.7246048110961913,0.391,0.34340000000000004,720896,0.8472222222222222,0.5551737000005232,0.5064774999937072,0.4416,2.974084516441572,0.48773452639579773
conv2,16,116042,0.0993464863941882,1.3575915033340453,0.5064,0.2280000000000001,1441792,0.6944444444444444,0.5551737000005232,0.5092254999999568,0.592,2.1803236213346864,0.6923009753227234
conv2,24,118858,0.07749025938746679,1.089809663963318,0.6206,0.11380000000000001,2162688,0.5416666666666667,0.5551737000005232,0.5189259999951901,0.7288,1.5581496469420468,0.808947741985321
conv2,32,121674,0.05563403238074538,0.9808477617263794,0.6534,0.08100000000000007,2883584,0.38888888888888884,0.5551737000005232,0.5266074999963166,0.7844,1.0441627809330964,0.8810855746269226
conv2,40,124490,0.03377780537402397,0.9509661359786987,0.6638,0.07060000000000011,3604480,0.23611111111111116,0.5551737000005232,0.5572095000025001,0.7838,0.8516751975312207,0.9292106032371521
conv2,48,127306,0.011921578367302565,0.7833158424377441,0.7244,0.010000000000000009,4325376,0.08333333333333337,0.5551737000005232,0.5570960000022751,0.9398,0.35591194941286153,0.9630624651908875
conv2,56,130122,-0.00993464863941873,0.7594376246452331,0.7322,0.0022000000000000908,5046272,-0.06944444444444442,0.5551737000005232,0.5653595000057976,0.9672,0.17768527051752692,0.9856667518615723
conv2,64,132938,-0.03179087564614025,0.7601936880111695,0.7346,-0.00019999999999997797,5767168,-0.22222222222222232,0.5551737000005232,0.5659935000039695,0.9998,0.0016096988315721268,1.0
