epoch,train_loss,validation_loss
1,1.9898079216003417,1.8509579893112182
2,1.7381597709655763,1.6422161420822143
3,1.6264361488342285,1.5158797225952148
4,1.539021710205078,1.4482377931594848
5,1.4608973161697387,1.4227902111053468
6,1.4056201305389404,1.3374841375350952
7,1.3462331401824952,1.2652786363601685
8,1.3000603130340576,1.2513353454589844
9,1.2557951946258545,1.19693330078125
10,1.2118259809494019,1.1662729970932006
11,1.189327126121521,1.1497057975769043
12,1.1352283370971679,1.131859314918518
13,1.1152080116271972,1.0902120109558104
14,1.082227166557312,1.0576377109527588
15,1.0530289549827576,1.0213640272140503
16,1.0400607723236084,0.9953135555267334
17,1.0068676376342773,1.0107093360900878
18,0.9901066103935242,0.9961525142669678
19,0.9715557884216308,0.9892899091720581
20,0.9534850635528564,0.9635408514022827
21,0.9346680219650269,0.911197632598877
22,0.9205425584793091,0.9200418237686158
23,0.8997031476974487,0.9415559553146362
24,0.8885007011413574,0.9106961479187011
25,0.8745539156913757,0.8679305501937866
26,0.8642349704742431,0.8673362920761108
27,0.8425812977790833,0.8620716167449951
28,0.8280986631393432,0.8582347427368164
29,0.8123481147766113,0.8212460331916809
30,0.8056416610717774,0.8217584510803223
31,0.7986164548873901,0.8030091889381409
32,0.7834972774505615,0.8073040047645569
33,0.7730820119857789,0.7894955718040466
34,0.7613529348373413,0.7600593111038209
35,0.7510450274467468,0.789678188419342
36,0.7433297252655029,0.7999092535972595
37,0.7340064869880676,0.783980486869812
