conv1_rank,conv2_rank,conv3_rank,conv1_role,conv2_role,conv3_role,is_all_knee,parameters,parameters_reduction,baseline_macs,compressed_macs,compute_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv1,retained_energy_conv2,retained_energy_conv3,parameters_normalize,validation_loss_normalize
3,16,32,aggressive,aggressive,aggressive,False,64155,0.5020645441703793,10357248,3100160,0.7006772455385832,2.7014945320129393,0.2072,0.5272000000000001,0.5551737000005232,0.5209234999983892,0.2214,3.717229069229525,0.36505842208862305,0.6923009753227234,0.7885524034500122,0.0,1.0
6,16,32,knee,aggressive,aggressive,False,64332,0.5006907685382096,10357248,3281408,0.6831776162934401,2.3158108848571777,0.3042,0.4302,0.5551737000005232,0.5028205000053276,0.3372,3.270577064668787,0.6009767651557922,0.6923009753227234,0.7885524034500122,0.00620747702882829,0.6552231634680448
9,16,32,conservative,aggressive,aggressive,False,64509,0.4993169929060399,10357248,3462656,0.665677987048297,2.174534973526001,0.3422,0.39220000000000005,0.5551737000005232,0.5041425000035815,0.3822,3.0301115839086687,0.7662929892539978,0.6923009753227234,0.7885524034500122,0.012414954057656136,0.5289314159538947
9,24,32,conservative,knee,aggressive,False,67325,0.4774607658993185,10357248,4183552,0.5960749419150724,2.090031996154785,0.3834,0.35100000000000003,0.5551737000005232,0.5176320000009582,0.4344,2.772798091786075,0.7662929892539978,0.808947741985321,0.7885524034500122,0.11117345865189066,0.4533910879404204
6,32,32,knee,conservative,aggressive,False,69964,0.4569783145247668,10357248,4723200,0.543971526026991,2.074852709388733,0.3994,0.3350000000000001,0.5551737000005232,0.5166955000004236,0.4446,2.8094612194778557,0.6009767651557922,0.8810855746269226,0.7885524034500122,0.20372448621729689,0.4398217636753001
9,32,32,conservative,conservative,aggressive,False,70141,0.4556045388925971,10357248,4904448,0.5264718967818478,1.8907870203018189,0.4354,0.29900000000000004,0.5551737000005232,0.5385674999979528,0.4884,2.512333304482608,0.7662929892539978,0.8810855746269226,0.7885524034500122,0.20993196324612473,0.2752786557020672
9,32,48,conservative,conservative,knee,False,81405,0.3681796308657115,10357248,5625344,0.45686885164862323,1.7082019412994385,0.4792,0.25520000000000004,0.5551737000005232,0.5306149999978516,0.5472,2.313134883287451,0.7662929892539978,0.8810855746269226,0.8807648420333862,0.6049659816230624,0.11205911968955262
9,32,64,conservative,conservative,conservative,False,92669,0.28075472283882585,10357248,6346240,0.38726580651539866,1.5828473194122314,0.5048,0.22960000000000003,0.5551737000005232,0.5385965000004944,0.5786,2.1401631071018863,0.7662929892539978,0.8810855746269226,0.9322720170021057,1.0,0.0
