conv1_rank,conv2_rank,conv3_rank,conv1_role,conv2_role,conv3_role,is_all_knee,parameters,parameters_reduction,baseline_macs,compressed_macs,compute_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv1,retained_energy_conv2,retained_energy_conv3,parameters_normalize,validation_loss_normalize
6,32,32,knee,conservative,aggressive,False,69964,0.4569783145247668,10357248,4723200,0.543971526026991,2.074852709388733,0.3994,0.3350000000000001,0.5551737000005232,0.5166955000004236,0.4446,2.8094612194778557,0.6009767651557922,0.8810855746269226,0.7885524034500122,0.20372448621729689,0.4398217636753001
9,32,32,conservative,conservative,aggressive,False,70141,0.4556045388925971,10357248,4904448,0.5264718967818478,1.8907870203018189,0.4354,0.29900000000000004,0.5551737000005232,0.5385674999979528,0.4884,2.512333304482608,0.7662929892539978,0.8810855746269226,0.7885524034500122,0.20993196324612473,0.2752786557020672
9,32,48,conservative,conservative,knee,False,81405,0.3681796308657115,10357248,5625344,0.45686885164862323,1.7082019412994385,0.4792,0.25520000000000004,0.5551737000005232,0.5306149999978516,0.5472,2.313134883287451,0.7662929892539978,0.8810855746269226,0.8807648420333862,0.6049659816230624,0.11205911968955262
