layer,rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy,parameters_normalize,validation_loss_normalize
conv1,3,128155,0.005332112199438077,2.960636256790161,0.2538,0.4806,181248,0.7951388888888888,0.5551737000005232,0.5638399999952526,0.2688,3.50962979095107,0.36505842208862305,0.0,1.0
conv1,6,128332,0.003958336567268406,1.6353318439483642,0.511,0.22340000000000004,362496,0.5902777777777778,0.5551737000005232,0.5642545000046084,0.5776,2.3974067980776126,0.6009767651557922,0.3333333333333144,0.1997543767521185
conv1,9,128509,0.002584560935098845,1.4574742120742799,0.5556,0.17880000000000007,543744,0.38541666666666663,0.5551737000005232,0.5749005000052421,0.6318,2.004653119833797,0.7662929892539978,0.6666666666666572,0.0923603395110616
conv1,12,128686,0.0012107853029291737,1.3045142183303833,0.5942,0.1402000000000001,724992,0.18055555555555558,0.5551737000005232,0.5584324999927048,0.6842,1.6869207368058599,0.8653917908668518,1.0,0.0
