epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.239075,1.9898079216003417,1.8509579893112182,0.3178
2,0.33705,1.7381597709655763,1.6422161420822143,0.382
3,0.386675,1.6264361488342285,1.5158797225952148,0.4336
4,0.425175,1.539021710205078,1.4482377931594848,0.4624
5,0.45835,1.4608973161697387,1.4227902111053468,0.4796
6,0.481525,1.4056201305389404,1.3374841375350952,0.5054
7,0.50475,1.3462331401824952,1.2652786363601685,0.537
8,0.52565,1.3000603130340576,1.2513353454589844,0.538
9,0.54345,1.2557951946258545,1.19693330078125,0.5648
10,0.558925,1.2118259809494019,1.1662729970932006,0.576
11,0.5687,1.189327126121521,1.1497057975769043,0.582
12,0.5916,1.1352283370971679,1.131859314918518,0.5884
13,0.598675,1.1152080116271972,1.0902120109558104,0.6134
14,0.611125,1.082227166557312,1.0576377109527588,0.6214
15,0.623025,1.0530289549827576,1.0213640272140503,0.6322
16,0.6273,1.0400607723236084,0.9953135555267334,0.6486
17,0.639125,1.0068676376342773,1.0107093360900878,0.6438
18,0.64625,0.9901066103935242,0.9961525142669678,0.6512
19,0.65575,0.9715557884216308,0.9892899091720581,0.6586
20,0.661275,0.9534850635528564,0.9635408514022827,0.66
21,0.66745,0.9346680219650269,0.911197632598877,0.6796
22,0.67205,0.9205425584793091,0.9200418237686158,0.6744
23,0.682425,0.8997031476974487,0.9415559553146362,0.6642
24,0.68825,0.8885007011413574,0.9106961479187011,0.6772
25,0.69065,0.8745539156913757,0.8679305501937866,0.6918
26,0.694475,0.8642349704742431,0.8673362920761108,0.69
27,0.703975,0.8425812977790833,0.8620716167449951,0.6974
28,0.707125,0.8280986631393432,0.8582347427368164,0.708
29,0.715375,0.8123481147766113,0.8212460331916809,0.708
30,0.715025,0.8056416610717774,0.8217584510803223,0.7114
31,0.720175,0.7986164548873901,0.8030091889381409,0.7156
32,0.72485,0.7834972774505615,0.8073040047645569,0.7228
33,0.72845,0.7730820119857789,0.7894955718040466,0.7208
34,0.732875,0.7613529348373413,0.7600593111038209,0.7348
35,0.7378,0.7510450274467468,0.789678188419342,0.7294
36,0.740175,0.7433297252655029,0.7999092535972595,0.7204
37,0.7448,0.7340064869880676,0.783980486869812,0.7284
