conv2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv2,parameters_normalize,validation_loss_normalize
3,128155,0.005332112199438077,2.960636256790161,0.2538,0.4806,206976,0.9427083333333334,0.5530702500000189,0.566980000003241,0.2688,3.50962979095107,0.2766987085342407,0.0,1.0
6,128332,0.003958336567268406,1.6353318439483642,0.511,0.22340000000000004,413952,0.8854166666666666,0.5530702500000189,0.5624660000012227,0.5776,2.3974067980776126,0.41732844710350037,0.3333333333333144,0.1997543767521185
9,128509,0.002584560935098845,1.4574742120742799,0.5556,0.17880000000000007,620928,0.828125,0.5530702500000189,0.5742914999973436,0.6318,2.004653119833797,0.5192803144454956,0.6666666666666572,0.0923603395110616
12,128686,0.0012107853029291737,1.3045142183303833,0.5942,0.1402000000000001,827904,0.7708333333333334,0.5530702500000189,0.5510309999954188,0.6842,1.6869207368058599,0.6045483350753784,1.0,0.0
