conv2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv2
3,128155,0.005332112199438077,2.960636256790161,0.2538,0.4806,206976,0.9427083333333334,0.5530702500000189,0.566980000003241,0.2688,3.50962979095107,0.2766987085342407
6,128332,0.003958336567268406,1.6353318439483642,0.511,0.22340000000000004,413952,0.8854166666666666,0.5530702500000189,0.5624660000012227,0.5776,2.3974067980776126,0.41732844710350037
9,128509,0.002584560935098845,1.4574742120742799,0.5556,0.17880000000000007,620928,0.828125,0.5530702500000189,0.5742914999973436,0.6318,2.004653119833797,0.5192803144454956
12,128686,0.0012107853029291737,1.3045142183303833,0.5942,0.1402000000000001,827904,0.7708333333333334,0.5530702500000189,0.5510309999954188,0.6842,1.6869207368058599,0.6045483350753784
15,128863,-0.0001629903292403867,1.2188034965515138,0.6164,0.1180000000000001,1034880,0.7135416666666667,0.5530702500000189,0.5793939999966824,0.7196,1.4894173042670076,0.672122061252594
18,129040,-0.0015367659614100582,0.8662741676330566,0.6986,0.035800000000000054,1241856,0.65625,0.5530702500000189,0.5863045000023703,0.8554,0.8067470715176744,0.727005124092102
21,129217,-0.0029105415935797296,0.8445456038475037,0.71,0.02440000000000009,1448832,0.5989583333333333,0.5530702500000189,0.5970095000066067,0.8762,0.7249651013623755,0.7727466225624084
24,129394,-0.004284317225749401,0.7854335813522338,0.7248,0.009600000000000053,1655808,0.5416666666666667,0.5530702500000189,0.6046579999929236,0.9426,0.34619636819874916,0.808947741985321
27,129571,-0.005658092857919073,0.7602432365417481,0.7344,0.0,1862784,0.484375,0.5530702500000189,0.6296540000039386,1.0,0.00012596148595444396,0.8395676016807556
