layer,rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy
conv1,3,128155,0.005332112199438077,2.960636256790161,0.2538,0.4806,181248,0.7951388888888888,0.5551737000005232,0.5638399999952526,0.2688,3.50962979095107,0.36505842208862305
conv1,6,128332,0.003958336567268406,1.6353318439483642,0.511,0.22340000000000004,362496,0.5902777777777778,0.5551737000005232,0.5642545000046084,0.5776,2.3974067980776126,0.6009767651557922
conv1,9,128509,0.002584560935098845,1.4574742120742799,0.5556,0.17880000000000007,543744,0.38541666666666663,0.5551737000005232,0.5749005000052421,0.6318,2.004653119833797,0.7662929892539978
conv1,12,128686,0.0012107853029291737,1.3045142183303833,0.5942,0.1402000000000001,724992,0.18055555555555558,0.5551737000005232,0.5584324999927048,0.6842,1.6869207368058599,0.8653917908668518
conv1,15,128863,-0.0001629903292403867,1.2188034965515138,0.6164,0.1180000000000001,906240,-0.02430555555555558,0.5551737000005232,0.5952059999981429,0.7196,1.4894173042670076,0.9261184334754944
conv1,18,129040,-0.0015367659614100582,0.8662741676330566,0.6986,0.035800000000000054,1087488,-0.22916666666666674,0.5551737000005232,0.5967689999943104,0.8554,0.8067470715176744,0.9677493572235107
conv1,21,129217,-0.0029105415935797296,0.8445456038475037,0.71,0.02440000000000009,1268736,-0.4340277777777777,0.5551737000005232,0.6056895000074292,0.8762,0.7249651013623755,0.9887751936912537
conv1,24,129394,-0.004284317225749401,0.7854335813522338,0.7248,0.009600000000000053,1449984,-0.6388888888888888,0.5551737000005232,0.5941875000007713,0.9426,0.34619636819874916,0.9973979592323303
conv1,27,129571,-0.005658092857919073,0.7602432365417481,0.7344,0.0,1631232,-0.84375,0.5551737000005232,0.6095180000011169,1.0,0.00012596148595444396,1.0
