epoch,train_loss,validation_loss
1,0.4186173532295227,0.42841205215454103
2,0.3367594863700867,0.34614562554359435
3,0.2979435840654373,0.3118853747844696
4,0.27445950103759764,0.28483064155578613
5,0.23653193567276,0.26207212257385254
6,0.22632078459739685,0.2537139636516571
7,0.2163121521472931,0.24713079023361206
8,0.19312807359695436,0.23869824361801148
9,0.18345779619693756,0.23153165683746338
10,0.17153400115966796,0.236341849732399
11,0.16116448687314988,0.23283645694255828
12,0.1586735646343231,0.23139752900600433
13,0.14718515751361846,0.22970579030513763
14,0.12953040947914124,0.22444349970817565
15,0.11965347120523452,0.21179864053726197
16,0.11526311267733574,0.22554605236053465
17,0.10667183318197727,0.22930995469093324
18,0.09264141416549683,0.23526365065574645
