epoch,train_acc,train_loss,validation_loss,validation_acc
1,0.88332,0.312988908367157,0.3656584966182709,0.8616
2,0.8987,0.2695361750125885,0.34324942407608033,0.8782
3,0.89128,0.2859881125259399,0.3607357903003693,0.8662
4,0.91356,0.2381706172847748,0.31309863495826723,0.8854
5,0.90668,0.24242431744575502,0.33858463039398196,0.8784
6,0.91468,0.2261761081314087,0.3222413681983948,0.8878
7,0.9101,0.23358923513412475,0.31908921105861665,0.8816
8,0.91288,0.22961049206733702,0.34691476974487306,0.8828
9,0.92526,0.1921317003965378,0.32465622029304503,0.8898
