candidate,fc1_rank,fc2_rank,acc_before,acc_after,delta_acc,loss_before,loss_after,delta_loss
Aggressive,16,16,0.7822,0.885,0.1028,0.6163949437081814,0.31864947578310965,-0.2977454679250717
Balanced,32,16,0.8694,0.8924,0.02300000000000002,0.3607345429062843,0.30795635957717893,-0.05277818332910539
Conservative,32,32,0.8694,0.8856,0.016200000000000103,0.35866753919124605,0.31863619203567506,-0.040031347155570995
