fc1_rank,fc2_rank,parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,compressed_macs,compute_reduction,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_fc1,retained_energy_fc2,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,parameters_normalize,validation_loss_normalize
16,16,36362,0.9321374048650848,0.6163949437081814,0.7822,0.10619999999999996,35584,0.9334928229665072,0.14197944999978063,0.18626959999892279,0.829,3.9672105740393375,0.6000480651855469,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,0.0,0.9999999999999998
32,16,57098,0.8934376971285026,0.3607345429062843,0.8694,0.019000000000000017,56320,0.8947368421052632,0.14197944999978063,0.17727840000043216,0.9482,1.68363401892278,0.7434288859367371,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,0.13989637305699482,0.1685123386159162
32,32,69386,0.8705045369883058,0.35866753919124605,0.8694,0.019000000000000017,68608,0.8717703349282296,0.14197944999978063,0.19385344999864174,0.9468,1.4905034964954578,0.7434288859367371,0.7376641631126404,64,"(64, 1, 28, 28)",20,2000,0.22279792746113986,0.16178979543089955
32,64,93962,0.824638216707912,0.3572394131779671,0.8714,0.017000000000000015,93184,0.8258373205741627,0.14197944999978063,0.1719774499997584,0.9518,1.3725298662115073,0.7434288859367371,0.8410488367080688,64,"(64, 1, 28, 28)",20,2000,0.38860103626943004,0.1571450825413847
64,16,98570,0.8160382816553382,0.3156656683743,0.8864,0.0020000000000000018,97792,0.8172248803827751,0.14197944999978063,0.18698405000031926,0.9764,0.9329891264221533,0.8496452569961548,0.6336410045623779,64,"(64, 1, 28, 28)",20,2000,0.41968911917098445,0.021934249211879253
64,32,110858,0.7931051215151413,0.3129919114232063,0.8864,0.0020000000000000018,110080,0.7942583732057417,0.14197944999978063,0.1995696499998303,0.9816,0.6520552667819732,0.8496452569961548,0.7376641631126404,64,"(64, 1, 28, 28)",20,2000,0.5025906735751295,0.013238354550832332
64,64,135434,0.7472388012347476,0.3113567085146904,0.8888,-0.00040000000000006697,134656,0.7483253588516746,0.14197944999978063,0.19492245000037656,0.9848,0.45911004317691706,0.8496452569961548,0.8410488367080688,64,"(64, 1, 28, 28)",20,2000,0.6683937823834196,0.00792016276975982
64,128,184586,0.6555061606739602,0.3089214685440064,0.8888,-0.00040000000000006697,183808,0.6564593301435406,0.14197944999978063,0.21465484999862383,0.985,0.40831620022907106,0.8496452569961548,0.9396525025367737,64,"(64, 1, 28, 28)",20,2000,1.0,0.0
